Accession,X20141222_WOS521,X20141222_WOS526,X20141222_WOS5211,X20141222_WOS5216,X20141222_WOS522,X20141222_WOS527,X20141222_WOS5212,X20141222_WOS5217,X20141222_WOS523,X20141222_WOS528,X20141222_WOS5213,X20141222_WOS5218
Cre12.g483700.t1.2|PACid:30793634|,3223.68194743216,3086.5421264312,3013.88796178091,3190.50550618211,3060.54646748518,3044.19688897074,3177.16521053489,2996.75456146291,3158.39941798268,3088.42102499418,3128.79576938322,3242.83518904628
Cre06.g278210.t1.1|PACid:30779668|,2846.56018462116,2908.74016113908,2735.91691626107,2816.86900652984,2836.7251313144,2706.08674965712,3038.59073364399,3086.80012049052,2817.00369300824,2689.97871200907,3106.39492690535,2662.38034196181
Cre02.g076350.t1.2|PACid:30785110|,3004.20361090405,2934.94220503092,2873.95810753913,3027.89737553725,2758.60105722081,2897.24479828549,2903.90119202914,3071.8627938955,2805.25979085141,2834.66697797291,2916.40739369026,2883.58386769945
Cre16.g664550.t1.2|PACid:30776923|,3245.80646618781,3036.03805014736,3067.38021856757,2997.71438053097,2959.99983079977,2978.34346429769,2952.05211708129,2952.36885305175,2931.79686857256,2927.92584088314,2985.30237640964,2902.07388478011
Cre06.g269950.t1.2|PACid:30778959|,891.701147467536,906.036304385658,883.538903157061,938.620235895086,852.312542058054,866.645009430561,945.5411560421,887.892717199669,832.564614605018,856.463080901611,906.726248431335,914.629602018545
Cre03.g185550.t1.2|PACid:30788192|,14923.0095549039,14390.9211366181,14544.6808941062,14509.6944769742,14184.3627440847,14171.5285641341,14974.8151367258,14860.800720811,15307.0142481735,13889.6272868503,15028.793125822,15046.24387963
Cre12.g485800.t1.2|PACid:30791981|,4094.41801978769,3648.28679764468,3821.21974653674,3914.51799094937,4315.64793553285,4014.52333371418,4213.05575454157,4037.06490343593,4770.67228919017,4668.71554083328,4718.8772860563,4745.79991457598
Cre09.g397697.t1.1|PACid:30781440|,6179.10372501322,5955.27260736389,5838.39632481508,5937.0825372789805,5476.1988730223,5669.01552903177,5729.39827283785,5737.76261775052,5693.7952292952,5595.02813503569,5741.26182908009,5691.92054830095
Cre07.g340350.t1.1|PACid:30774678|,4090.55242255384,3782.07247226781,3989.4816337781,4127.82673533208,3901.38412702185,3719.21792743517,4008.0045013998,3994.57747243941,3839.68821388552,3819.95244869223,4017.87139304416,3875.31232683925
Cre06.g272050.t1.2|PACid:30779959|,3003.19731879952,2846.93997786694,2920.93198983374,2942.42658433991,2863.89587290027,2822.96522053801,2638.94311024925,2344.42020404752,2667.88348014389,2641.23207843953,2698.01983640994,2747.93633489968
Cre01.g044800.t1.2|PACid:30789628|,1365.17667256911,1274.22774055076,1301.29616848921,1279.35419707911,1186.50165139223,1233.48657997147,1322.87807399745,1256.25149012163,1164.25587998045,1168.78313280603,1181.99794721214,1235.04563824908
Cre12.g537200.t1.2|PACid:30792850|,1495.35524001931,1524.57293111947,1460.98874009596,1574.87927057795,1499.13399439107,1463.82068754555,1564.64478682272,1464.84114857939,1474.71589147999,1358.09089155022,1519.10968334104,1556.1757938917
gi|41179003|ref|NP_958358.1|,17409.4242271302,16602.6196693699,16983.2110076492,16904.9909093935,16743.0279125218,16097.2577341086,17057.4235191599,16778.3316006262,16265.1571564949,16058.7727491123,16916.2515533101,16849.6732378536
Cre13.g604650.t1.2|PACid:30784625|,7166.51567355369,6781.45962798527,6901.13188900536,6925.12734950309,6550.17930196151,6416.03981623364,6877.43913438407,6691.1738046664595,6561.33456097413,6477.06539440061,6696.32159686656,6760.2781843408
Cre12.g483950.t1.2|PACid:30793306|,9075.94527534064,8372.43220578871,8416.49925396538,8543.88956241287,8050.8298791744,8347.57028462064,8492.8687375241,8434.94360539748,8129.93806853156,8358.79508533756,8235.82084942667,8357.21787947207
Cre06.g278222.t1.1|PACid:30778664|,7911.30985604939,7641.2102941283,7769.1606378971,7857.99677307294,7220.43404038908,7502.84185576089,7951.83677973897,7661.44585833255,7639.09759046945,7834.089942948,7944.33269716017,7851.0944888378
Cre10.g461050.t1.2|PACid:30790304|,3232.70349975695,3101.94245756401,3219.47837569479,3305.63763851509,3070.2052678289,3249.2298625077,3166.0630453306,3393.58359850766,2660.99946327537,3190.68850621729,3165.31076622041,3269.04790462009
Cre06.g293950.t1.2|PACid:30778403|,3786.4204936606,3524.12789674608,3534.64464466072,3508.82217257942,3512.88826236457,3418.71136146257,3536.88741754095,3608.56121979718,3396.38385669966,3353.94041847538,3506.10355213898,3477.19680899211
Cre03.g188250.t1.2|PACid:30787955|,2459.61495124963,2330.95293767544,2453.13327510742,2582.64929315473,2277.97658531013,2251.34250477089,1664.2072250998,2611.55820313043,2311.75012353135,2402.72086979569,2283.230259758,2628.84952315697
Cre06.g278185.t1.1|PACid:30779965|,2901.44515942451,2757.89734985796,2835.85862856108,2834.16467420502,2741.94745969744,2678.16711980273,2798.31751950196,2787.38690296234,2727.55114928929,2875.41531638587,2841.2042197409,2771.08897398956
Cre03.g158900.t1.2|PACid:30787386|,8813.23930375156,8553.81663166138,8548.33781052408,8335.43830722558,8522.76062625615,7966.68719707435,8384.15810350444,8071.63536335614,8126.67490007961,8191.14552200692,8330.69425475246,8619.37211698726
Cre03.g175400.t1.2|PACid:30788088|,3328.27706199566,3054.81641202473,3209.87820702876,3127.46071666509,3129.39659105034,2908.55437271602,3276.48096065416,3633.43127597539,2704.84740091389,3174.87145883399,3323.0095894684,3334.23489688703
Cre07.g344550.t1.2|PACid:30774422|,1390.44123404405,1421.33908660339,1391.31203039908,1424.48464370765,1434.32493137775,1404.17089883488,1384.36288993717,1399.90451140218,1427.84261912985,1414.60883142567,1498.13101837605,1465.88780144034
Cre10.g451950.t1.2|PACid:30790791|,3177.80259052045,2972.57593519295,2896.62677288645,2832.03206031295,3044.49097664004,2968.52240952115,2841.16154286724,3137.21298177207,3053.69878512877,3024.96516937993,3112.32458384004,3076.73158674866
Cre02.g101400.t1.2|PACid:30785683|,564.998182549741,551.469738056823,567.002735240705,616.007593422345,581.900687612342,533.999332908569,535.533449569127,575.04752384183,558.967124147348,569.355389798573,544.671428525678,593.844892184143
Cre08.g372450.t1.2|PACid:30773912|,60725.2380807059,57345.9795071124,54449.0422470549,55611.7262477598,56333.2981630702,56441.824931801,54772.700456402,53751.1304433353,54647.3784492037,54178.95669731,54861.5910152411,53795.6419930288
Cre05.g238332.t1.1|PACid:30782977|,17794.9131561714,16629.6555709509,16966.053897477,17904.8131341523,16101.729264638,16777.6695688068,17020.0820085401,17180.8780270576,16405.8892845645,16034.1673322648,17127.2101450967,17063.7518637367
Cre06.g309100.t1.2|PACid:30779697|,1851.70559109983,1854.03183709233,1789.06611591725,1835.87892610296,1738.55002198797,1741.81537576774,1792.96518186398,1722.17471503162,1835.39118516289,1600.65585476814,1863.74256968732,1818.10395139865
Cre12.g510650.t1.2|PACid:30792164|,5783.86833984165,5424.42580090676,5717.45767566032,5466.96675674044,5551.9039393841,5239.09330724627,5460.58649227449,5335.97711862589,5185.17688743347,5415.45786038975,5240.80629784835,5417.16305653454
Cre12.g497300.t1.2|PACid:30792664|,6651.97107701304,6564.77200265958,6670.03786077475,6543.1332473513,6561.77281488308,6217.1226222834,6819.97119889964,6606.04713021294,6465.55117421506,6478.9539536046,6520.41827272982,6623.24402466986
Cre10.g452800.t1.2|PACid:30790505|,6797.77988557795,6390.03993207006,6546.4115390778,6369.85237487058,6170.28020542708,6029.15083547824,6292.46245476345,6172.00074312955,6297.57253362545,6107.55813405585,7241.773404118,5910.71087714644
Cre06.g298650.t1.2|PACid:30780155|,5188.42534494499,5045.77579784379,5099.92266078836,5156.29021223285,5075.28606310302,4970.31612947281,5018.0606203523,5209.36058627609,4833.546948328,4808.71090774599,5131.56520914498,5141.60145269932
Cre04.g214500.t1.1|PACid:30791131|,2876.99929879672,2621.70075030942,2808.14291996619,2673.9341670152,2594.37517098149,2536.78646499011,2604.84036739932,2661.59166466959,2593.75476742144,2631.90814320651,2445.37890643957,2603.73726898902
P04040ups|CATA_HUMAN_UPS,2119.06364993741,2004.06526866047,1986.79850735603,2100.73310322528,3752.57734033866,3588.14816795165,3647.92818146063,3565.04945954628,5967.47992241529,5976.50007722085,5879.45775947045,6107.00930283488
Cre16.g663900.t1.2|PACid:30777054|,4196.05551968459,3879.77096377648,3825.8599451557,3833.18152745933,3848.97378772254,3742.46770242587,4032.67268643536,3748.34568269015,3899.72475646452,3886.43893342419,4060.30300379256,3828.03954750337
Cre02.g088200.t1.2|PACid:30786096|,1449.60766184111,1355.40928278973,1418.13728999082,1343.49471128859,1457.76085224788,1348.01385503157,1304.48908044157,1340.75960395245,1343.05248166852,1344.46214068121,1356.16299780335,1344.37447431366
Cre09.g415550.t1.2|PACid:30780638|,3406.92704913697,3176.30736172901,3122.60716865023,3135.65482671866,3093.99344216719,3160.95589786415,2998.55398748878,3200.98649731039,3109.84745902313,3123.67165362714,3171.36731123014,3150.56223033176
Cre12.g554800.t1.2|PACid:30793573|,19138.1812253509,17760.9395676356,17703.5843289667,17841.100428632,16890.520480248,17524.9180870029,18363.2071155126,18165.5670367605,17298.9184927729,17543.5378068344,18274.2050148956,17613.1445354886
Cre02.g114600.t1.2|PACid:30784840|,20083.6612703015,19818.604892937,19655.7780854257,20198.7288002228,19521.4477119567,20100.5413977248,20009.6788103424,19866.5720950458,19844.4221244119,19273.7490382191,19849.6093036454,19830.0347737816
Cre16.g673650.t1.1|PACid:30777655|,38365.2346530167,35675.3412217946,36420.8763267641,36304.3308467528,35968.2878068618,35547.8657943364,37146.6749355029,35445.8976780017,35512.7840557229,35381.1505266599,36061.4764122768,36725.3151829165
Cre01.g002500.t1.2|PACid:30788346|,4233.03182570069,3913.43103336993,3924.43875153876,3831.82963042913,4041.25525025663,4083.2423163469,4071.18682189189,3933.85331066894,3980.46274175995,3919.35547163394,4020.10279589545,4105.60513116185
Cre06.g258700.t1.1|PACid:30779562|,1531.45895005842,1479.32363566036,1452.04595514845,1473.20030241428,1293.14976355978,1314.74016443459,1515.10132504272,1343.88831660545,1399.08556284772,1390.57242212072,1497.12959078758,1414.65829387394
Cre17.g734100.t1.2|PACid:30782432|,1908.05337508599,1799.05034779354,1732.67961443789,1787.80417641803,1889.22965526381,1758.74710322096,1833.1986314796,1760.04461369243,1818.43296316232,1733.43179289613,1820.98253188344,1861.41894656962
gi|41179065|ref|NP_958422.1|,48200.4017004762,44889.2011945551,44568.2348957275,46013.9633338114,43799.3094457929,44305.5196145368,44913.7042419438,44857.4851659501,44495.7584365298,43712.9772440409,43848.6102996505,45523.2215433823
Cre12.g520500.t1.1|PACid:30793097|,9882.05224564639,9136.51765794467,9354.10477491749,9538.48523802895,9483.73308641495,9339.08933539903,9304.85838377391,9347.60761411498,9262.97795667728,9200.13938001762,9516.03319991642,9142.74124427455
Cre09.g393200.t1.2|PACid:30781359|,1142.50885855726,1022.33381401401,1063.72089300008,1047.95980341577,1095.26503482515,1051.01933604397,1051.82217449332,1070.24255731203,1062.39706759367,1070.98024583881,1061.4814994011101,1089.16294931839
Cre01.g015350.t1.1|PACid:30789577|,9565.94550977803,8810.27640075487,8830.01199314316,9095.10456999968,9217.36197761667,8916.06578122287,9267.48910551687,9286.58085167276,9295.80208631157,9294.82635597522,9324.35387664292,9634.62853209141
Cre02.g099850.t1.1|PACid:30785418|,1471.72671621706,1395.06330344633,1343.92456837905,1203.34452420996,957.82091596548,1161.14281075863,1215.68651611443,1201.37471718624,1260.8974296811,945.425518332846,1259.76813782035,1273.34513375923
Cre12.g530650.t1.1|PACid:30793234|,10771.4948313741,10364.5837138048,10621.4575257928,10367.9700670735,10757.3838598971,10457.8474871104,10428.60267002,10226.3234085315,10405.3861321995,10308.2783158945,10596.1835765014,10594.9678249367
P06396ups|GELS_HUMAN_UPS,1301.94034057888,1314.2946712572,1286.32119340728,1288.06912344615,2395.78428326329,2183.505169079,2268.11558888724,2324.77233596448,5084.94465188704,5008.44356313064,5120.51518113949,5175.71494385877
Cre16.g690431.t1.1|PACid:30777302|,2410.72996666027,2417.78018371709,2391.8035880344,2449.42231831493,2340.0080888806,2346.82335077452,2339.69183149557,2232.78261361853,2330.29056109577,2327.48296148318,2488.60252545218,2295.96314907341
